,grav
181482,1
182087,1
101295,1
123670,1
182229,1
71498,1
4498,1
204146,1
4561,1
208482,1
156852,1
29930,1
97012,1
78444,1
219537,1
78628,1
199484,1
64580,1
152663,1
104403,1
174245,1
91604,1
197955,1
1054,1
154674,1
21670,1
164989,1
90531,1
63873,1
25791,1
211348,1
145615,1
182212,1
173160,1
103655,1
198218,1
250996,1
245902,1
230309,1
241907,1
71855,1
203405,1
112347,1
244680,1
118426,1
43491,1
24788,1
204030,1
76907,1
252063,1
163050,1
227251,1
70452,1
68107,1
93401,1
11844,1
169870,1
250714,1
153296,1
205311,1
193367,1
126967,1
26954,1
194225,1
226726,1
104926,1
169879,1
103034,1
142537,1
47528,1
52574,1
64401,1
185287,1
133202,1
141234,1
196565,1
259736,1
168200,1
24406,1
13828,1
72293,1
193617,1
210989,1
142519,1
252092,1
81295,1
190632,1
65878,1
25642,1
42711,1
191852,1
116761,1
235225,1
126049,1
106751,1
168947,1
228987,1
228652,1
102526,1
154140,1
65294,1
137801,1
182960,1
122917,1
132988,1
16335,1
68933,1
128617,1
120494,1
171847,1
48120,1
70487,1
252292,1
97718,1
176941,1
115919,1
196445,1
216997,1
228159,1
21427,1
138717,1
26791,1
94406,1
258823,1
14129,1
227683,1
151477,1
72601,1
151739,1
121421,1
96823,1
75957,1
195076,1
111089,1
157032,1
116804,1
43317,1
177351,1
155680,1
57469,1
229663,1
5715,1
39545,1
82486,1
159371,1
257902,1
138405,1
237368,1
211187,1
146670,1
130520,1
5542,1
156381,1
69076,1
82170,1
83201,1
27047,1
40512,1
49021,1
243118,1
20259,1
101857,1
28269,1
145399,1
124448,1
128201,1
14932,1
214200,1
228262,1
22335,1
110621,1
93346,1
126337,1
28399,1
259672,1
181391,1
204353,1
150133,1
180812,1
188808,1
8519,1
95397,1
259725,1
149427,1
249790,1
162714,1
110197,1
62344,1
163114,1
75778,1
27925,1
86840,1
53078,1
143887,1
247055,1
233162,1
11957,1
90393,1
69002,1
45835,1
231889,1
204649,1
145039,1
151989,1
61082,1
256778,1
15750,1
177297,1
105132,1
63069,1
175504,1
47897,1
2257,1
61913,1
223277,1
239140,1
46372,1
208642,1
181371,1
163885,1
247385,1
131736,1
91674,1
71745,1
182231,1
82461,1
72167,1
86325,1
187319,1
172967,1
121605,1
223089,1
182360,1
203679,1
34073,1
201332,1
154517,1
254591,1
179909,1
260510,1
111768,1
70198,1
110958,1
13506,1
55253,1
169651,1
109336,1
2127,1
220675,1
206958,1
146150,1
141091,1
220348,1
36148,1
2172,1
204848,1
75206,1
196104,1
132178,1
143904,1
170553,1
30607,1
219641,1
57242,1
159243,1
7156,1
260351,1
181968,1
155784,1
246144,1
48503,1
47327,1
213115,1
180990,1
184689,1
102117,1
151955,1
8137,1
60613,1
252783,1
55674,1
29225,1
226637,1
101127,1
157015,1
42847,1
248771,1
243740,1
129516,1
262295,1
130855,1
177100,1
137411,1
84496,1
126029,1
109048,1
53014,1
175889,1
19161,1
185174,1
226436,1
87535,1
218658,1
36159,1
220117,1
66354,1
179150,1
146004,1
120958,1
76337,1
109594,1
213324,1
139776,1
169762,1
175799,1
20424,1
179562,1
38238,1
172760,1
154998,1
116915,1
131035,1
157227,1
4763,1
220034,1
219865,1
252980,1
170034,1
242044,1
54306,1
167289,1
161021,1
93253,1
24811,1
175105,1
97053,1
110360,1
146563,1
168721,1
215875,1
110290,1
140850,1
247725,1
195528,1
221899,1
208917,1
178725,1
58444,1
132888,1
90132,1
21418,1
110932,1
33337,1
27478,1
114907,1
99517,1
223863,1
151826,1
177599,1
254197,1
6864,1
67596,1
48519,1
24073,1
244082,1
2280,1
179076,1
229606,1
91320,1
65417,1
157660,1
244555,1
90728,1
72329,1
223930,1
232111,1
259414,1
164613,1
128906,1
123998,1
21161,1
74193,1
19194,1
131643,1
159646,1
159195,1
228527,1
68246,1
42900,1
199936,1
153667,1
79966,1
167195,1
208611,1
254318,1
19975,1
84457,1
18113,1
16325,1
