,grav
176802,4
25523,3
125177,1
318814,4
53817,1
300562,4
120814,1
143068,4
126461,4
297581,1
174642,1
282762,1
99777,1
307341,1
66902,4
10072,1
325676,3
214829,4
251461,4
242526,4
74437,4
111405,3
247731,1
78422,1
200782,4
3560,1
275047,1
104029,4
200724,1
270057,3
8665,1
97006,1
245876,1
221080,4
71764,4
184932,1
233917,1
174325,1
298580,1
279335,3
258248,4
326287,4
305491,4
227099,4
99633,1
320326,4
130742,1
124477,3
234173,4
12609,1
45947,3
21596,2
152970,4
204414,1
159050,3
17333,4
273870,3
212401,1
160504,1
222820,1
185840,1
260812,1
324272,4
116485,1
326368,1
133979,1
118378,4
137290,1
271786,1
299169,1
4217,1
28870,1
263835,1
198847,1
28740,3
208799,3
61001,3
274050,1
286747,4
256424,3
131213,1
144312,1
97491,1
319890,4
5406,4
101256,3
19019,1
237263,4
295562,4
67809,3
318701,1
59662,1
252886,3
137933,1
84555,3
261090,1
93641,4
139548,1
297090,1
234385,4
287229,4
223640,1
300204,1
266426,4
204281,4
14831,1
182462,4
61913,1
29626,1
244260,4
125274,4
56672,1
171021,4
129485,3
26656,1
101248,1
198329,1
215308,1
180575,3
231309,4
55970,3
293159,4
229542,1
194597,4
256631,4
58016,1
113073,4
300209,4
187738,4
266485,3
55651,3
14894,4
39686,1
194657,1
90564,1
135228,3
30877,1
107317,3
142375,4
79311,2
270420,1
244557,1
252144,1
173625,3
287474,4
159076,4
2312,1
154183,1
322607,4
248166,2
30534,1
212505,1
77335,1
285966,4
174232,4
46399,3
15790,3
92651,1
231777,1
37527,1
205351,4
184516,3
240064,3
261513,1
206969,3
5153,3
124692,4
96561,1
263157,1
319389,4
206903,1
149586,3
81058,1
234822,1
76646,3
246399,4
130092,1
20671,1
257168,3
319908,4
112103,1
116544,1
204888,4
31277,1
229438,1
51245,1
125388,4
119477,4
157419,1
78633,1
281961,3
169335,1
11666,4
90734,4
230835,4
7901,1
49948,4
293373,4
245478,1
191037,1
211682,1
215558,1
254793,3
92096,4
184196,1
126793,4
267314,4
163644,1
201244,3
141237,4
122483,1
16710,4
151135,3
151833,4
75659,1
87432,1
51332,1
152093,3
277344,1
312555,3
52736,1
63594,3
282299,4
130110,4
21899,4
216700,1
137890,1
311020,4
273555,1
303426,1
178030,4
256456,3
222382,1
187150,4
103104,4
76298,3
20770,1
253788,4
136718,1
230430,3
235665,1
133172,4
323952,1
117911,1
240730,3
273072,3
171867,3
15826,1
310448,4
113646,4
294992,4
231853,1
210614,1
310071,1
296593,4
7900,1
96079,4
202708,1
147852,3
124684,3
310341,4
185667,4
98979,1
216986,3
181924,3
268408,3
88569,4
52751,2
156351,1
311684,1
46471,1
78209,1
186097,1
327385,1
84900,3
78316,4
8232,1
161876,1
33158,1
24858,3
17918,4
1581,4
234913,3
222040,1
67458,3
302769,4
145810,1
188985,1
39040,3
274331,1
199658,1
195618,3
258595,4
136326,4
261885,1
326334,1
178526,1
324280,2
32831,3
208234,1
65269,4
79456,4
251399,1
234376,3
174265,4
288165,1
120500,1
139281,1
105757,3
197658,4
248627,1
191130,3
157125,1
89529,3
51702,1
111881,1
317312,3
176185,1
128749,4
84906,4
51434,4
20207,4
156076,4
14608,4
105845,4
13002,1
139841,3
172146,4
1557,1
280780,1
220739,4
250740,4
237447,4
27995,4
249198,4
302942,3
157095,3
237254,4
28624,3
111663,4
145988,4
277602,1
135414,4
189349,3
282211,1
221913,4
43011,1
75063,3
145248,3
278023,4
84511,1
136730,3
46592,1
63495,4
16590,4
10280,1
294801,4
207218,3
236385,1
327320,1
35771,1
23695,1
173472,1
251220,1
89808,3
33181,4
173669,1
69320,1
179056,1
212830,3
128175,4
311985,1
44379,3
79287,1
77353,3
195957,1
235968,4
10627,4
69028,4
311668,3
313767,4
325878,4
85767,4
120871,1
72312,4
22045,4
218149,1
